year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,36,67736,136069,San Bernardino,Helendale Elementary,Community Collaborative Virtual - Sage Oak Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,1885,Directly funded,Y,K,12,232,58,25.00%,76,32.80%,225,56,24.90%,74,32.90%,Y
2017-2018,36,67736,6035935,San Bernardino,Helendale Elementary,Helendale Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,499,221,44.30%,265,53.10%,480,215,44.80%,257,53.50%,Y
2017-2018,36,67736,6107072,San Bernardino,Helendale Elementary,Riverview Middle,Elementary School District,Junior High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,164,70,42.70%,84,51.20%,164,70,42.70%,84,51.20%,Y
2017-2018,36,67777,1,San Bernardino,Morongo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,13,65.00%,13,65.00%,17,12,70.60%,12,70.60%,Y
2017-2018,36,67777,3630217,San Bernardino,Morongo Unified,Black Rock Alternative/Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,121,99,81.80%,102,84.30%,94,79,84.00%,82,87.20%,Y
2017-2018,36,67777,3636743,San Bernardino,Morongo Unified,Twentynine Palms High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,821,425,51.80%,480,58.50%,779,403,51.70%,455,58.40%,Y
2017-2018,36,67777,3638616,San Bernardino,Morongo Unified,Yucca Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1417,876,61.80%,942,66.50%,1372,849,61.90%,911,66.40%,Y
2017-2018,36,67777,6035984,San Bernardino,Morongo Unified,Joshua Tree Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,340,276,81.20%,290,85.30%,326,268,82.20%,282,86.50%,Y
2017-2018,36,67777,6035992,San Bernardino,Morongo Unified,Morongo Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,198,142,71.70%,150,75.80%,198,142,71.70%,150,75.80%,Y
2017-2018,36,67777,6036008,San Bernardino,Morongo Unified,Oasis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,616,437,70.90%,469,76.10%,615,436,70.90%,468,76.10%,Y
2017-2018,36,67777,6036016,San Bernardino,Morongo Unified,Palm Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,418,335,80.10%,356,85.20%,418,335,80.10%,356,85.20%,Y
2017-2018,36,67777,6036024,San Bernardino,Morongo Unified,Twentynine Palms Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,649,277,42.70%,335,51.60%,635,273,43.00%,328,51.70%,Y
2017-2018,36,67777,6036032,San Bernardino,Morongo Unified,Twentynine Palms Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,512,269,52.50%,308,60.20%,512,269,52.50%,308,60.20%,Y
2017-2018,36,67777,6036040,San Bernardino,Morongo Unified,Yucca Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,595,500,84.00%,514,86.40%,595,500,84.00%,514,86.40%,Y
2017-2018,36,67777,6105589,San Bernardino,Morongo Unified,Yucca Mesa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,416,286,68.80%,313,75.20%,416,286,68.80%,313,75.20%,Y
2017-2018,36,67777,6106579,San Bernardino,Morongo Unified,La Contenta Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,734,498,67.80%,531,72.30%,734,498,67.80%,531,72.30%,Y
2017-2018,36,67777,6106827,San Bernardino,Morongo Unified,Friendly Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,393,216,55.00%,232,59.00%,393,216,55.00%,232,59.00%,Y
2017-2018,36,67777,6109615,San Bernardino,Morongo Unified,Condor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,562,118,21.00%,264,47.00%,562,118,21.00%,264,47.00%,Y
2017-2018,36,67777,6109623,San Bernardino,Morongo Unified,Landers Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,132,116,87.90%,122,92.40%,132,116,87.90%,122,92.40%,Y
2017-2018,36,67777,6113070,San Bernardino,Morongo Unified,Onaga Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,708,458,64.70%,493,69.60%,708,458,64.70%,493,69.60%,Y
2017-2018,36,67785,6036057,San Bernardino,Mountain View Elementary,Mountain View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,482,290,60.20%,360,74.70%,468,282,60.30%,352,75.20%,Y
2017-2018,36,67785,6102909,San Bernardino,Mountain View Elementary,Grace Yokley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,884,420,47.50%,523,59.20%,884,420,47.50%,523,59.20%,Y
2017-2018,36,67785,6105449,San Bernardino,Mountain View Elementary,Creek View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,251,42.80%,316,53.90%,573,246,42.90%,308,53.80%,Y
2017-2018,36,67785,6110050,San Bernardino,Mountain View Elementary,Ranch View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,607,321,52.90%,369,60.80%,596,318,53.40%,365,61.20%,Y
2017-2018,36,67793,6036065,San Bernardino,Mt. Baldy Joint Elementary,Mt. Baldy Joint Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,94,21,22.30%,26,27.70%,94,21,22.30%,26,27.70%,Y
2017-2018,36,67801,131888,San Bernardino,Needles Unified,Chemehuevi Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,45,40,88.90%,45,100.00%,44,39,88.60%,44,100.00%,Y
2017-2018,36,67801,132720,San Bernardino,Needles Unified,Needles Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,6,12,6,6,100.00%,6,100.00%,6,6,100.00%,6,100.00%,Y
2017-2018,36,67801,3630266,San Bernardino,Needles Unified,Educational Training Center,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,15,12,80.00%,12,80.00%,9,7,77.80%,7,77.80%,Y
2017-2018,36,67801,3634169,San Bernardino,Needles Unified,Needles High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,238,149,62.60%,153,64.30%,228,140,61.40%,144,63.20%,Y
2017-2018,36,67801,6036115,San Bernardino,Needles Unified,Vista Colorado Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,421,324,77.00%,334,79.30%,414,318,76.80%,328,79.20%,Y
2017-2018,36,67801,6100929,San Bernardino,Needles Unified,Needles Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,244,163,66.80%,177,72.50%,244,163,66.80%,177,72.50%,Y
2017-2018,36,67819,1,San Bernardino,Ontario-Montclair,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,22,38.60%,22,38.60%,56,21,37.50%,21,37.50%,Y
2017-2018,36,67819,100107,San Bernardino,Ontario-Montclair,Vista Grande Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,460,289,62.80%,338,73.50%,449,281,62.60%,329,73.30%,Y
2017-2018,36,67819,100115,San Bernardino,Ontario-Montclair,Montera Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,571,446,78.10%,465,81.40%,552,430,77.90%,449,81.30%,Y
2017-2018,36,67819,6036123,San Bernardino,Ontario-Montclair,Arroyo Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,358,245,68.40%,286,79.90%,346,241,69.70%,281,81.20%,Y
2017-2018,36,67819,6036131,San Bernardino,Ontario-Montclair,Berlyn Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,782,586,74.90%,622,79.50%,759,569,75.00%,604,79.60%,Y
2017-2018,36,67819,6036149,San Bernardino,Ontario-Montclair,Bon View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,698,511,73.20%,582,83.40%,682,501,73.50%,571,83.70%,Y
2017-2018,36,67819,6036156,San Bernardino,Ontario-Montclair,Buena Vista Arts-Integrated,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,403,205,50.90%,271,67.20%,383,195,50.90%,259,67.60%,Y
2017-2018,36,67819,6036164,San Bernardino,Ontario-Montclair,Central Language Academy,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,709,436,61.50%,500,70.50%,706,433,61.30%,497,70.40%,Y
2017-2018,36,67819,6036172,San Bernardino,Ontario-Montclair,Corona Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,501,400,79.80%,424,84.60%,487,392,80.50%,416,85.40%,Y
2017-2018,36,67819,6036198,San Bernardino,Ontario-Montclair,Richard Haynes Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,788,577,73.20%,668,84.80%,776,569,73.30%,658,84.80%,Y
2017-2018,36,67819,6036206,San Bernardino,Ontario-Montclair,De Anza Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,568,434,76.40%,451,79.40%,568,434,76.40%,451,79.40%,Y
2017-2018,36,67819,6036214,San Bernardino,Ontario-Montclair,Del Norte Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,490,396,80.80%,414,84.50%,483,391,81.00%,408,84.50%,Y
2017-2018,36,67819,6036222,San Bernardino,Ontario-Montclair,Edison Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,771,455,59.00%,531,68.90%,754,447,59.30%,522,69.20%,Y
2017-2018,36,67819,6036230,San Bernardino,Ontario-Montclair,El Camino Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,434,319,73.50%,369,85.00%,422,309,73.20%,358,84.80%,Y
2017-2018,36,67819,6036248,San Bernardino,Ontario-Montclair,Elderberry Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,766,552,72.10%,579,75.60%,749,543,72.50%,567,75.70%,Y
2017-2018,36,67819,6036255,San Bernardino,Ontario-Montclair,Euclid Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,709,596,84.10%,626,88.30%,698,588,84.20%,617,88.40%,Y
2017-2018,36,67819,6036263,San Bernardino,Ontario-Montclair,Hawthorne Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,679,475,70.00%,549,80.90%,666,469,70.40%,543,81.50%,Y
2017-2018,36,67819,6036271,San Bernardino,Ontario-Montclair,Howard Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,589,469,79.60%,516,87.60%,573,456,79.60%,503,87.80%,Y
2017-2018,36,67819,6036289,San Bernardino,Ontario-Montclair,Ray Wiltsey Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,1128,858,76.10%,932,82.60%,1128,858,76.10%,932,82.60%,Y
2017-2018,36,67819,6036297,San Bernardino,Ontario-Montclair,Kingsley Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,624,497,79.60%,525,84.10%,609,487,80.00%,514,84.40%,Y
2017-2018,36,67819,6036305,San Bernardino,Ontario-Montclair,Lehigh Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,718,596,83.00%,623,86.80%,703,583,82.90%,610,86.80%,Y
2017-2018,36,67819,6036347,San Bernardino,Ontario-Montclair,Mariposa Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,5,641,534,83.30%,559,87.20%,623,520,83.50%,545,87.50%,Y
2017-2018,36,67819,6036354,San Bernardino,Ontario-Montclair,Mission Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,665,502,75.50%,526,79.10%,644,487,75.60%,510,79.20%,Y
2017-2018,36,67819,6036362,San Bernardino,Ontario-Montclair,Monte Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,608,392,64.50%,415,68.30%,597,386,64.70%,409,68.50%,Y
2017-2018,36,67819,6036370,San Bernardino,Ontario-Montclair,Moreno Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,6,534,369,69.10%,442,82.80%,518,358,69.10%,431,83.20%,Y
2017-2018,36,67819,6036388,San Bernardino,Ontario-Montclair,Ramona Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,P,6,752,535,71.10%,562,74.70%,736,526,71.50%,552,75.00%,Y
2017-2018,36,67819,6036404,San Bernardino,Ontario-Montclair,Serrano Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,772,580,75.10%,653,84.60%,772,580,75.10%,653,84.60%,Y
2017-2018,36,67819,6036412,San Bernardino,Ontario-Montclair,Sultana Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,6,758,606,79.90%,636,83.90%,733,591,80.60%,621,84.70%,Y
2017-2018,36,67819,6036420,San Bernardino,Ontario-Montclair,Vernon Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,708,530,74.90%,605,85.50%,708,530,74.90%,605,85.50%,Y
2017-2018,36,67819,6036438,San Bernardino,Ontario-Montclair,Vina Danks Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,664,472,71.10%,542,81.60%,664,472,71.10%,542,81.60%,Y
2017-2018,36,67819,6036446,San Bernardino,Ontario-Montclair,Vineyard Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,8,784,579,73.90%,687,87.60%,765,564,73.70%,670,87.60%,Y
2017-2018,36,67819,6096283,San Bernardino,Ontario-Montclair,Lincoln Elementary,Elementary School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,P,6,551,490,88.90%,521,94.60%,540,480,88.90%,510,94.40%,Y
2017-2018,36,67819,6113476,San Bernardino,Ontario-Montclair,Oaks Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,860,592,68.80%,709,82.40%,860,592,68.80%,709,82.40%,Y
2017-2018,36,67827,111807,San Bernardino,Oro Grande Elementary,Mojave River Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,762,Directly funded,N,K,12,1405,1021,72.70%,1088,77.40%,1196,866,72.40%,925,77.30%,Y
2017-2018,36,67827,113928,San Bernardino,Oro Grande Elementary,Riverside Preparatory,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,855,Locally funded,N,K,12,2333,1443,61.90%,1655,70.90%,2305,1428,62.00%,1637,71.00%,Y
2017-2018,36,67827,6036453,San Bernardino,Oro Grande Elementary,Oro Grande Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,109,96,88.10%,101,92.70%,109,96,88.10%,101,92.70%,Y
2017-2018,36,67843,0,San Bernardino,Redlands Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,173,86,49.70%,91,52.60%,147,74,50.30%,78,53.10%,Y
2017-2018,36,67843,1,San Bernardino,Redlands Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,60.00%,3,60.00%,5,3,60.00%,3,60.00%,Y
2017-2018,36,67843,102558,San Bernardino,Redlands Unified,Beattie Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1160,586,50.50%,660,56.90%,1160,586,50.50%,660,56.90%,Y
2017-2018,36,67843,107888,San Bernardino,Redlands Unified,Highland Grove Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,523,261,49.90%,310,59.30%,512,254,49.60%,302,59.00%,Y
2017-2018,36,67843,110569,San Bernardino,Redlands Unified,Judson & Brown Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,553,237,42.90%,259,46.80%,541,234,43.30%,256,47.30%,Y
2017-2018,36,67843,118802,San Bernardino,Redlands Unified,Citrus Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2168,995,45.90%,1174,54.20%,2097,958,45.70%,1127,53.70%,Y
2017-2018,36,67843,123851,San Bernardino,Redlands Unified,Mission Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,561,350,62.40%,397,70.80%,553,344,62.20%,391,70.70%,Y
2017-2018,36,67843,127837,San Bernardino,Redlands Unified,Redlands eAcademy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,100,36,36.00%,36,36.00%,97,35,36.10%,35,36.10%,Y
2017-2018,36,67843,3630779,San Bernardino,Redlands Unified,Redlands East Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2154,1017,47.20%,1180,54.80%,2109,999,47.40%,1159,55.00%,Y
2017-2018,36,67843,3630928,San Bernardino,Redlands Unified,Grove,Unified School District,High Schools (Public),Traditional,N/A,Yes,180,Directly funded,N,7,12,224,30,13.40%,34,15.20%,221,30,13.60%,34,15.40%,Y
2017-2018,36,67843,3634995,San Bernardino,Redlands Unified,Orangewood High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,213,159,74.60%,172,80.80%,173,132,76.30%,140,80.90%,Y
2017-2018,36,67843,3635042,San Bernardino,Redlands Unified,Redlands Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2325,1036,44.60%,1193,51.30%,2235,993,44.40%,1143,51.10%,Y
2017-2018,36,67843,6036479,San Bernardino,Redlands Unified,Crafton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,676,335,49.60%,383,56.70%,662,327,49.40%,375,56.60%,Y
2017-2018,36,67843,6036487,San Bernardino,Redlands Unified,Cram Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,557,225,40.40%,244,43.80%,549,222,40.40%,241,43.90%,Y
2017-2018,36,67843,6036503,San Bernardino,Redlands Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,690,530,76.80%,584,84.60%,679,521,76.70%,575,84.70%,Y
2017-2018,36,67843,6036511,San Bernardino,Redlands Unified,Kimberly Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,610,203,33.30%,232,38.00%,604,199,32.90%,228,37.70%,Y
2017-2018,36,67843,6036537,San Bernardino,Redlands Unified,Lugonia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,703,592,84.20%,640,91.00%,689,582,84.50%,629,91.30%,Y
2017-2018,36,67843,6036545,San Bernardino,Redlands Unified,Mariposa Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,556,152,27.30%,173,31.10%,546,149,27.30%,170,31.10%,Y
2017-2018,36,67843,6036552,San Bernardino,Redlands Unified,McKinley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,405,266,65.70%,291,71.90%,399,264,66.20%,289,72.40%,Y
2017-2018,36,67843,6036560,San Bernardino,Redlands Unified,Mentone Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,519,390,75.10%,417,80.30%,506,378,74.70%,405,80.00%,Y
