CDS_CODE,ETHNIC,GENDER,E7,E8,E9,E10,E11,E12,EUS,ETOT,D7,D8,D9,D10,D11,D12,DUS,DTOT,YEAR
1.6112E+12,3,M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,3,F,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,4,M,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,4,F,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,M,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,F,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,6,M,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,6,F,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,M,51,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,F,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,M,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,F,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1617
1.6112E+12,0,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,M,28,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,F,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,3,M,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,3,F,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,4,M,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,4,F,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,M,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,F,15,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1617
1.6112E+12,6,M,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,6,F,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,M,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,F,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,M,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,F,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,M,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,F,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,3,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,3,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,4,F,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,M,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,5,F,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,6,M,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,6,F,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,M,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,7,F,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,M,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,9,F,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61127E+12,2,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,7,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,2,M,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,2,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,5,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,5,F,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1617
1.61127E+12,7,M,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1617
1.61127E+12,0,M,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1617
1.61127E+12,0,F,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1617
1.61127E+12,1,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61127E+12,1,F,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,1617
1.61127E+12,2,M,0,0,49,44,43,35,0,171,0,0,0,0,1,0,0,1,1617
1.61127E+12,2,F,0,0,37,43,42,42,0,164,0,0,0,0,0,0,0,0,1617
1.61127E+12,3,M,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1617
1.61127E+12,4,M,0,0,0,5,1,3,0,9,0,0,0,0,0,0,0,0,1617
1.61127E+12,4,F,0,0,1,3,3,2,0,9,0,0,0,0,0,0,0,0,1617
1.61127E+12,5,M,0,0,24,30,23,28,0,105,0,0,0,0,0,0,0,0,1617
1.61127E+12,5,F,0,0,25,23,26,20,0,94,0,0,0,0,0,2,0,2,1617
1.61127E+12,6,M,0,0,6,7,4,6,0,23,0,0,0,0,0,0,0,0,1617
1.61127E+12,6,F,0,0,2,9,7,9,0,27,0,0,0,0,0,0,0,0,1617
1.61127E+12,7,M,0,0,52,52,48,59,0,211,0,0,0,0,0,0,0,0,1617
1.61127E+12,7,F,0,0,49,46,61,60,0,216,0,0,0,0,0,1,0,1,1617
1.61127E+12,9,M,0,0,19,16,13,16,0,64,0,0,0,0,0,0,0,0,1617
1.61127E+12,9,F,0,0,12,15,20,14,0,61,0,0,0,0,0,1,0,1,1617
1.61128E+12,0,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,0,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,1,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,2,M,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,2,F,50,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,3,M,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,4,M,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,4,F,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,5,M,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,5,F,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,6,M,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,6,F,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,7,M,61,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,7,F,71,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1617
1.61128E+12,9,M,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61128E+12,9,F,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61143E+12,2,M,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1617
1.61143E+12,2,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61143E+12,5,M,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1617
1.61143E+12,6,M,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1617
1.61143E+12,6,F,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1617
1.61143E+12,7,M,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1617
1.61143E+12,0,M,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61143E+12,0,F,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.61143E+12,2,M,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
