CDS_CODE,COUNTY,DISTRICT,SCHOOL,HISPANIC,AM_IND,ASIAN,PAC_ISLD,FILIPINO,AFRICAN_AM,WHITE,TWO_MORE_RACES,NOT_REPORTED,TOTAL,YEAR
3.73981E+12,Amador,Amador County Unified,Amador High,7,0,3,0,0,0,45,2,2,59,1617
3.73981E+12,Amador,Amador County Unified,Argonaut High,3,0,0,0,0,0,26,3,0,32,1617
4.10041E+12,Butte,Butte County Office of Education,CORE Butte Charter,2,1,0,1,0,0,23,2,0,29,1617
4.10041E+12,Butte,Butte County Office of Education,Butte County Community - LEAD,0,0,0,0,0,0,0,0,0,0,1617
4.10041E+12,Butte,Butte County Office of Education,Come Back Butte Charter,0,0,0,0,0,0,0,0,0,0,1617
4.10041E+12,Butte,Butte County Office of Education,Table Mountain,0,0,0,0,0,0,0,0,0,0,1617
4.10041E+12,Butte,Butte County Office of Education,Learning Community Charter,0,0,0,0,0,0,0,0,0,0,1617
4.10042E+12,Butte,Butte County Office of Education,Butte County Special Education,0,0,0,0,0,0,0,0,0,0,1617
4.61408E+12,Butte,Biggs Unified,Biggs Secondary Community Day,0,0,0,0,0,0,0,0,0,0,1617
4.61408E+12,Butte,Biggs Unified,Biggs High,5,0,1,0,0,0,2,0,0,8,1617
4.61424E+12,Butte,Chico Unified,Inspire School of Arts and Sciences,8,1,1,0,0,0,28,0,1,39,1617
4.61424E+12,Butte,Chico Unified,Oakdale,0,0,0,0,0,0,0,0,0,0,1617
4.61424E+12,Butte,Chico Unified,Fair View High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
4.61424E+12,Butte,Chico Unified,Chico High,32,2,7,0,2,7,117,2,0,169,1617
4.61424E+12,Butte,Chico Unified,Pleasant Valley High,28,2,17,3,2,3,147,1,0,203,1617
4.61432E+12,Butte,Durham Unified,Durham High,3,1,0,0,0,0,41,0,0,45,1617
4.6144E+12,Butte,Feather Falls Union Elementary,Ipakanni Early College Charter,0,0,0,0,0,0,0,0,0,0,1617
4.61457E+12,Butte,Golden Feather Union Elementary,Pivot Charter School North Valley,0,0,0,0,0,0,0,0,0,0,1617
4.61515E+12,Butte,Oroville Union High,Las Plumas High,10,1,7,0,0,0,15,1,0,34,1617
4.61515E+12,Butte,Oroville Union High,Oroville High,4,1,22,0,0,0,8,1,0,36,1617
4.61515E+12,Butte,Oroville Union High,Prospect High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
4.61531E+12,Butte,Paradise Unified,Paradise eLearning Academy,0,0,0,0,0,0,3,0,0,3,1617
4.61531E+12,Butte,Paradise Unified,Ridgeview High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
4.61531E+12,Butte,Paradise Unified,Paradise Senior High,7,1,2,0,0,0,49,10,0,69,1617
4.61532E+12,Butte,Paradise Unified,HomeTech Charter,0,0,0,0,0,0,0,0,0,0,1617
